# Graph Type: undirected
A	B
EFS	TRAPPC6A
RRS1	APPBP2
NTAQ1	BLOC1S6
SPRY2	ADAMTSL4
PRPS1	SPG21
KXD1	UTP6
CEACAM5	EWSR1
CPSF7	GCC1
AGTRAP	PITPNC1
EWSR1	GPBP1L1
KRT18	CCDC85B
FXR2	KXD1
ZNF638	CCDC85B
EMD	BEND7
CALCOCO2	AP5B1
RALBP1	HOOK2
STK16	RPIA
KIAA1217	EXOSC5
DVL2	SNIP1
DVL2	CSNK1E
CCDC85B	C19orf25
SORBS3	ADAMTSL4
DVL2	PRPF3
GNPDA1	EWSR1
KAT7	CALCOCO2
PDLIM1	VIM
DAZAP2	UBAC1
DDIT3	MCMBP
RTN3	PLEKHF2
ZNF567	MAP3K20
ABLIM1	TSC22D4
WWP2	VASP
CCDC85B	GCC1
SGTA	GPX7
STX4	VAMP3
TRIM27	BEGAIN
RNF8	CCDC85B
UBE2I	PHC1
PLSCR1	SPRY2
WWP2	PDLIM7
ARR3	ZNF496
CUTC	CUTC
HGS	CCDC33
FXR2	ZNF451
PAICS	PAICS
TMEM11	BNIP3
NCK2	NCKIPSD
MLH1	FRMD6
TRIP13	LOXL4
PPFIA1	MBIP
SF3A3	CCDC85B
CTBP2	TGIF1
VIM	PSMA1
CCDC85B	TTC14
UBE2I	CHMP4B
AGGF1	BLOC1S6
HGS	BEGAIN
MCM7	MBIP
STAM2	L3MBTL2
NAPA	RTN4
DVL2	BAHD1
ATP6V1G1	AP2B1
SORBS3	ZBED1
PSME3	PSME3
ABI2	WASHC3
NRBP1	TSC22D4
GNG11	AMOTL2
LDOC1	UTP14A
CRK	PSMC6
DVL2	TP53
GLRX3	ADAMTSL4
NAGK	NAGK
CCDC85B	HMG20B
CCDC85B	DUSP13
CUTC	SPG21
STK25	PDCD10
GOLGA2	TRIM29
CCDC33	HOOK2
PLEKHF2	RABAC1
SSBP2	LDB1
RBPMS	RAMAC
ZNF764	SUFU
MCRS1	MED4
ARHGEF15	C11orf49
PLSCR1	VASP
SEC24A	TRIP13
DVL2	BAG3
RIC8A	UBQLN1
ZBTB5	CCDC85B
AP2B1	NUP54
TBC1D5	AP2M1
EWSR1	BAD
TRIP13	SMUG1
DPCD	RUVBL2
DYNLT3	DYNLT3
NMI	HDDC3
PSMD2	UBLCP1
HOOK2	AKTIP
CLK2	CLK3
LDOC1	FXR2
SORBS3	CPSF7
STK16	ADAMTSL4
LMO2	EHMT2
IFT20	ABI2
TRIM29	CEP70
HGS	DAZAP2
U2AF2	BEND7
HGS	UBE2I
FXR2	RBBP8
GALE	GALE
SORD	SORD
ZNF24	ZSCAN32
NUDT21	CPSF6
HNRNPC	PIN1
CCDC85B	NDUFA5
EWSR1	MRPS18B
ZBED1	UBE2I
CALCOCO2	SMARCD1
MID1IP1	SUFU
EFS	SORBS3
AP5B1	PDLIM7
AP2B1	TERF2IP
NONO	POLR1H
ABLIM1	CALCOCO2
PSMA1	CCDC85B
PSMF1	RNF126
ASL	QARS1
MIEF2	RABAC1
NFKBIE	JUP
MCRS1	WASHC3
BNIP3L	BNIP3
KAT7	NINL
EWSR1	CUEDC2
XAGE2	EHMT2
TSC22D3	PLEKHF2
EFEMP2	UBQLN1
GCC1	NINL
IFIT3	IFIT3
SGTA	C1QTNF1
CCDC33	TSC22D4
DRAP1	TAF9
RBPMS	ARHGAP9
RGS2	NINL
CALCOCO2	CALCOCO2
TRIM23	ZNF581
PRPF3	DPY30
PLEKHF2	MBIP
DR1	POLE3
NAPA	STX5
E4F1	EHMT2
NRIP1	CEP70
SNAPC5	BRCC3
SPOP	RXRB
HCLS1	SH2D4A
CCDC85B	EXOC8
EWSR1	CNST
SNX15	RABAC1
DYNC1I1	DYNLRB1
COPS4	MBIP
CCDC130	NINL
NONO	NONO
ATF4	PTCD3
UGP2	UGP2
NUDT21	PSMF1
WDR4	METTL1
SORBS3	DDX17
TRIP13	PLAC8
PLSCR1	ZNF581
SRI	CALCOCO2
HSD17B14	HSD17B14
NT5C2	NT5C2
DSTN	ACTG1
PIN1	RBPMS
EFEMP2	TCAF1
MCM6	ING5
PRKAR1A	PLEKHF2
DVL2	RBPMS
BAHD1	DVL3
C5orf22	WBP11
FXR2	MCRS1
CCDC85B	UTP14A
BEND7	PSMF1
PSMC6	C1orf216
LDB1	TOLLIP
RTN4	SPG21
PCBD1	GORASP2
CALCOCO2	FASTK
EHMT2	THAP7
GLRX3	CIAPIN1
CPSF4	FIP1L1
PRPS1	PRPS1
TSPAN3	EWSR1
FXR2	TRIM29
NRIP1	CTBP2
FXR2	CCDC33
NMI	HHLA3
HAX1	EIF3F
NCK2	SF3B4
APEX2	NINL
KAT7	KCTD13
HNRNPM	RBM4B
SLU7	CCDC85B
DRG2	RWDD1
PBLD	TRIP13
MIF4GD	DDX19A
EWSR1	CCDC91
CDK4	VTA1
PRPS1	GORASP2
NIF3L1	RABAC1
CCDC85B	CEP70
LDOC1	SMARCD1
NCK2	CBLB
RABAC1	RABAC1
FXR2	RTN4
XAB2	PPIE
DVL3	SNX22
CCND2	CDKN1B
ITGB3BP	CERT1
STAT1	EIF1AD
BSG	PDLIM7
DVL2	OTULIN
PRMT2	CPSF7
TRIM37	EWSR1
TRIP13	NIF3L1
FXR2	AMOTL2
GPRIN2	DYNLL2
PDCD6	PDCD6
RBFOX2	RBPMS
DAZAP2	EXD3
EHMT2	KLF12
EIF3H	CCDC85B
CPSF6	UBAC1
EWSR1	NINL
PIN1	RBBP8
LEPROTL1	KLRG1
SGTA	SPPL2A
FXR2	ARL6IP1
GALT	TRIP13
PDE6D	RAD23A
PLSCR1	TFG
CCDC85B	PSMF1
SMUG1	RBPMS
PLSCR1	ADAMTSL4
ASS1	ASS1
MIEF2	UBQLN1
DVL2	AP1M1
HGS	STAM2
SNF8	NIF3L1
HOXB9	RBPMS
HSPA13	UBQLN1
KLHL42	UBQLN1
SNAP23	FXR2
TRIM37	MCRS1
EWSR1	CPSF7
NAA10	EHMT2
BAG3	HSPB8
UBE2Z	PLEKHF2
PGLS	EWSR1
FBF1	TUBGCP4
KAT14	MBIP
VIM	GOPC
AMOTL2	AMOTL2
BAG3	DAZAP2
BNIP3L	TMEM11
ZNF250	NINL
CCDC85B	APEX2
CDKN1A	CCDC85B
HGS	MED7
SPOP	DDIT3
LDOC1	CCDC85B
SORBS3	CBLB
HNRNPC	AP1M1
PLSCR1	ILF3
FXR2	MBIP
NFKBIA	POM121
ERCC1	UBL7
RPIA	FXR2
PSMD9	PSMC6
PLSCR1	NPDC1
WWP2	CPSF6
ETF1	KEAP1
KANSL1	CEP70
CCDC85B	PLEKHF2
EWSR1	SELENOI
NAV2	ING5
EPS8	PCM1
SEPHS1	SEPHS1
KXD1	NIF3L1
DVL2	SORBS3
MYL6	EWSR1
UBE2I	TRIM29
ADAMTSL4	DNPEP
DYNLL2	THAP10
TRIP13	SEMA4G
EWSR1	SMAD4
SLU7	PPIL3
HPCAL1	HMG20A
RBPMS	HEYL
GABPB1	TDRD7
NIF3L1	DCTPP1
HGS	KRT18
KRT18	NME7
TRIP6	PPP1R16A
SGTA	EFEMP1
TRIP13	INTS11
HMG20A	RBM7
YIPF6	YIPF2
PPIA	PRR13
FXR2	NONO
NCK2	WBP11
CCDC33	EHMT2
CCNK	HMG20A
NCK2	CPSF6
EFEMP2	RHPN1
PTBP1	PTBP1
NIF3L1	TSC22D4
GEM	PDLIM7
GLUL	GLUL
FTL	FTH1
APPBP2	CHMP5
TRIP13	NTAQ1
PCBD1	NIF3L1
UBLCP1	TSC22D4
PSMC1	CCDC85B
PLSCR1	ZNF764
NTAQ1	RABAC1
EWSR1	MVK
GOLGA2	POM121
EPS8	HOOK2
EFEMP2	ZNF638
EML1	ISG20L2
ABLIM1	HOOK2
CALCOCO2	DAZAP2
CNNM3	RBPMS
ITPKB	PSME3
EWSR1	MAPK1IP1L
ZNF473	TRIM41
SNAPC5	NMI
HMG20A	HMG20A
RCOR3	NINL
PIN1	NONO
AQP1	TRIP6
CCND3	MAF1
NQO2	GORASP2
CYTH3	CALCOCO1
ZNF24	SCAND1
NT5C2	FXR2
ZBTB16	CEP70
KIAA1217	GCC1
EWSR1	MTMR9
GAK	USO1
SPOP	RTN3
CALCOCO2	RHPN1
RUNX1T1	WBP11
PLSCR1	EWSR1
DVL2	ZNF250
RBPMS	POM121
CSTF2	UBQLN1
GPANK1	CCDC85B
HGS	UBQLN1
UBE2D3	RNF126
HOXB9	SAT1
XIAP	XIAP
CCDC85B	ZNF764
LRIF1	NOC2L
PHC2	MCRS1
PDHX	EWSR1
PRPSAP1	PLEKHF2
APIP	APIP
NUP62	GORASP2
RIOX2	RIOX2
MLLT3	MCM6
DRAP1	TAF9B
CCDC85B	C7orf50
SFN	FAM189A2
DCTPP1	DCTPP1
ZNF250	TRIM23
NIF3L1	CUTC
CCDC85B	MOB1A
HNRNPC	UBE2I
CSNK1D	DVL3
ZBTB16	CCDC85B
PLSCR1	EXD3
ARFIP2	ITGB3BP
FXR2	KIAA1217
DAZAP2	WWP1
SPOP	MYD88
CEP44	ABI3
MBIP	NINL
EWSR1	SALL2
SAP30BP	PUF60
CCDC85B	EURL
LDOC1	AP1M1
PLSCR1	CNTFR
DAZAP2	RBPMS
RTN3	RTN3
ZBTB22	DNAJA3
ACP1	SFMBT1
ACTN4	MYOZ1
SF3B4	TCAF1
NT5C2	MOB3B
MAX	PLEKHF2
DCTD	NIF3L1
CCDC85B	MOB4
CALCOCO2	APEX2
DPY30	DPY30
NMI	NECAP2
AGT	EWSR1
PCBD1	NTAQ1
G2E3	WDR6
SH2D4A	DBNL
EWSR1	KCNMB1
S100A16	S100A14
LPXN	POM121
ARAF	KLHL12
CTBP2	PSMF1
NRIP1	CCDC85B
SNAP23	NAPA
OPTN	TBC1D17
CALCOCO2	GABARAPL1
PHC2	SFMBT1
ZFC3H1	CCDC85B
UBE2I	ZNF451
U2AF2	SRSF1
PLSCR1	GLRX3
PLSCR1	DHRS1
PLEKHF2	CHIC2
UBOX5	MLH1
NTAQ1	RBBP8
DAZAP2	GPSM1
EXOSC7	IP6K1
VCL	TRIP6
PLSCR1	DAZAP2
PLSCR1	ZNF638
PLSCR1	SLC35A2
PLSCR1	ZBTB16
TADA3	USP5
U2AF2	KHDC4
FTL	FTL
AQP1	CCDC85B
TASOR2	TASOR2
PHYKPL	PHYKPL
GPRIN2	SFN
NUDT21	NUDT21
ZNF202	ZNF473
PHC1	PHC2
CCDC85B	UTP6
EFEMP2	HHEX
EFEMP2	IL16
NCK2	FXR2
CALCOCO2	KANSL1
PEX26	SUFU
NAPA	STX4
CCDC85B	NUP54
RTN4	CERT1
CIAO1	CIAO2A
DVL2	DVL2
RUNX1T1	TAF9B
CREB3	BNIP2
MCRS1	WBP11
NCK2	CPSF7
TNFAIP8L1	DVL3
NFYA	APPBP2
TRIM29	FBF1
PRPF3	DVL3
APEH	IST1
PRPF19	EXOC7
ZNF638	HOOK2
RNF40	ZNF451
PSMC1	PSMD2
FXR2	FXR2
PSMC2	PSMD5
SAT1	SAT1
RFC4	RFC5
BNIP3	BNIP3
DCTD	DCTD
IKZF5	IKZF5
U2AF2	SF1
PRPS1	PRPSAP1
RALB	RALBP1
PEX19	PEX3
ALDH1A1	ALDH1A1
PSME1	PSME2
PSMD10	PSMC4
CCND3	CDKN1B
RAB1A	RABAC1
MXI1	MAX
STAM2	STAMBP
ACTN1	MYOZ1
PDLIM1	ACTN4
RAB2A	GOLGA2
RING1	RYBP
HGS	STAM
EPS8	EPS8
TRIM29	TRIM29
MCM2	MCM6
CASP9	XIAP
CBS	CBS
PIAS2	UBE2I
PDE6D	ARL2
U2AF2	U2AF1
RHOA	ARHGAP1
BCL2L1	BAK1
UBE2I	SMAD4
ELOC	ELOB
NME1	NME1
RRAGA	RRAGC
JUP	CTNNBIP1
NXF1	NXT1
FBP1	FBP1
CCND3	CDKN1A
TSG101	VPS28
BLMH	BLMH
IMPA1	IMPA1
CDK4	CCND3
HGS	TSG101
ACD	POT1
SRI	SRI
GSTA4	GSTA4
DDIT3	CEBPG
AP2B1	AP2M1
PCNA	CDKN1A
CBFA2T2	RUNX1T1
ACTB	NCALD
AIMP2	AIMP2
BCL2L1	RAD9A
MCM7	MCM7
PSMC3	TXNRD2
ARL1	GOLGA1
ARL1	GOLGA4
EP300	JMY
ITGA2B	CLNS1A
DVL3	DIDO1
CCDC33	ZBTB8A
PAXIP1	ZBTB8A
TRIM41	ZBTB8A
KAT7	ZBTB8A
ZBTB8A	AP2M1
FXR2	ZBTB8A
WWP2	DIDO1
FRYL	HOMER3
DVL2	ZBTB8A
SRSF1	DIDO1
CEP70	ZBTB8A
ZBTB8A	ZBTB8A
ZBTB8A	AP1M1
DIDO1	WWP1
ZNF250	ZBTB8A
ARF3	GGA1
ARF3	GGA3
TRAK2	KCNJ2
MAPT	AATF
ATF4	POLR2C
GLRX	ATP7A
ATP7B	GLRX
TUBA1A	SPART
TNFRSF1A	SUMO1
BCL2L2	BAD
BCL2L11	BCL2
BCL2L11	BCL2L1
BCL2L11	MCL1
BCL2L1	BAD
BCL2	BAD
YWHAQ	BAD
PRKACA	AKIP1
CDK2	CDKN1B
ZBTB17	DNMT3A
PML	TDG
STK11	CAB39
STK11	STRADA
XRCC1	APTX
PARP1	APTX
NF2	SGSM3
STAT5A	ERBB4
JUN	NELFB
FOS	NELFB
POLB	TAF1D
POLB	XRCC1
ZWINT	MIS12
PMF1	MIS12
EGFR	SHC1
SH3BGRL	EGFR
EGFR	STAT5A
EGFR	PTPN11
EGFR	CRK
EGFR	CSK
EGFR	CBLB
EGFR	GRB2
ERBB2	SHC1
SH3BGRL	ERBB2
ERBB2	PTPN11
ERBB2	GRB2
SHC1	ERBB4
CRK	ERBB4
GRB2	ERBB4
PTPN11	ERBB4
PIK3R2	ERBB4
NCK1	ERBB4
VPS37C	TSG101
VPS37C	VPS28
VPS37C	PDCD6IP
NSL1	MIS12
CBX3	MIS12
CBX5	MIS12
CBX5	NSL1
HSP90AB1	PPID
EGFR	STAT3
MAP3K20	MAP3K20
U2AF1	RP9
MPRIP	PPP1R12C
RAPH1	ENAH
VASP	RAPH1
NF2	MED28
GRB2	MED28
ZBTB16	HDAC1
ZBTB16	HDAC2
HDAC3	ZBTB16
HDAC4	ZBTB16
ZBTB16	HDAC5
ZBTB16	HDAC6
PML	CHFR
MTOR	RICTOR
MTOR	FKBP1A
MAP2K7	MAP3K20
TGFBR1	MAP3K20
TCERG1	SF3A1
TCERG1	SF3A3
TCERG1	SF3B2
TCERG1	SF3B1
TCERG1	SF3B4
TCERG1	HNRNPM
TCERG1	CHD8
TCERG1	HSPA5
TCERG1	U2AF2
TCERG1	DNAJB9
TCERG1	TPM4
TCERG1	NPM1
TCERG1	PCBP1
TCERG1	HNRNPH1
TCERG1	SRSF1
MBD3	MBD3
MBD3	MBD2
YWHAQ	CRTC2
CRTC2	SIK2
SART3	LSM7
PRPF3	SART3
PRPF4	SART3
SNRNP200	CD2BP2
CD2BP2	PRPF8
LRPPRC	ARF6
KIF5B	YWHAG
CNOT1	CNOT8
IPO4	ASF1B
HERC2	DBNL
PRPF8	SNRNP40
CDAN1	ASF1B
CD2BP2	EFTUD2
YWHAG	SRRM2
SMNDC1	SF3B3
PSMD2	PAAF1
SNRNP200	SNRNP40
CNOT1	BTG2
PSMD2	PSMD13
TLK2	ASF1B
ROCK2	IKBKE
YWHAB	KIF5B
USP11	TCEAL1
FRYL	YWHAG
SNRNP200	RNPS1
PSMD12	PSMD13
YWHAB	MPRIP
PSMD1	PSMD13
YWHAG	MPRIP
RANGAP1	UBE2I
PSMD6	PSMD1
LRPPRC	GSTK1
EIF1B	EIF3A
YWHAG	PI4KB
PSMD10	PSMD1
ATG12	DHX36
TLE3	TLE5
PSMD3	PAAF1
MLF2	MMS19
PSMD2	PSMD6
MCC	CLTC
ILK	ACP6
PSMD10	PSMD2
PSMD11	PSMD13
YWHAQ	KIF5B
YWHAB	SRRM2
PSMC5	PAAF1
LIG3	PNKP
TNFRSF14	UGGT1
CUL5	ASB3
CDK4	CDKN2C
CAB39	MOB4
PTP4A3	GCN1
UBE2I	SAE1
RIOK3	RUVBL2
CHST12	UGGT1
SNRPB	PRPF8
PSMC1	PAAF1
PSMD11	PSMD10
EIF4G1	NELFCD
RNPS1	MKLN1
YWHAG	KLC1
RO60	PUF60
YWHAG	LARP1
GSK3B	SMYD2
YWHAB	IRS2
AFDN	YWHAG
PON2	RUVBL2
PSMD1	PAAF1
MTREX	RNPS1
RUVBL2	RUVBL1
VHL	CUL2
PSMD10	PSMC5
IQGAP1	ARF6
STRN	STK24
SLC27A4	TMBIM4
KIF5B	YWHAZ
ARF6	DYNC1H1
UQCRC1	RUVBL2
NEK9	NEK6
DNASE2	RUVBL2
PAAF1	DERA
PSMD12	PSMD6
PLRG1	PRPF19
PSMC4	PSMD2
STRN	MCC
MCC	STK24
MPDU1	MORF4L2
YWHAB	SAMD4B
EIF3A	EIF3L
PSMC4	PAAF1
COPS4	WRAP73
VHL	CAB39
EIF1B	EIF3L
PPP4C	PPP4R3A
PSMC3	PSMD13
GPS2	DBNL
SNRNP200	SNRPB
GYS1	PRKAB1
BRAF	YWHAB
PSMD3	PSMD13
P4HB	TRIP6
PSMD6	PSMD13
PRPF6	CD2BP2
CLTC	IKBKE
PSMC1	PSMD13
RNPS1	PRPF8
STRN3	STK24
EIF6	BCCIP
WRAP73	COPS3
GABARAPL2	IRGQ
EFTUD2	RNPS1
RNPS1	LUC7L2
TGFB1I1	VHL
MYBBP1A	DDX56
CTNNB1	CTNNBIP1
SMNDC1	SF3B2
GLB1	CTNNBIP1
PRPF4B	RNPS1
OLA1	PUF60
ARF6	ECPAS
RPN2	TMBIM4
PPP1CB	PPP1R7
LRPPRC	IKBKE
TLE1	TLE5
EML3	NEK6
PSMC4	PSMD13
BRAF	YWHAG
RANBP2	UBE2I
PLRG1	CDC5L
PSMD10	PSMC1
SSB	PUF60
YWHAB	PI4KB
IKBKE	DSTYK
COPS2	WRAP73
RNF123	UBAC1
PSMC2	PSMD13
PTP4A2	CNNM3
EIF1B	EIF3M
PSMD11	PSMD6
SMNDC1	RPL3
EPB41	MYH9
PRPF40A	RNPS1
YWHAG	EDC3
CDKN2C	CDK6
RASGRF2	RASGRF2
UQCRC2	UQCRC1
MCC	STRN3
PPP2R1A	STK24
CD40	UGGT1
PSMD3	PSMD6
PTP4A3	IPO4
SMNDC1	TSR1
YWHAG	CLASP1
GSK3B	DDX20
PSMC1	PSMD6
PSMD3	PSMD10
AKR1B1	TFE3
TFE3	CLTC
TIPRL	PPP4C
PSMD10	PSMC3
BCKDK	CAB39
CCDC47	TMBIM4
PTP4A3	XPO5
YWHAB	USP8
USF2	USF2
DNAAF5	GSTK1
USP11	TCEAL9
EPRS1	IKBKE
YWHAG	PPFIBP1
CTNNB1	PHB2
EIF3F	EIF1B
PSMC2	PSMD6
PSMC3	PSMD6
YWHAZ	SAMD4B
P4HB	CUL2
FDFT1	RUVBL1
EFTUD2	SNRNP40
XPO5	GSTK1
TFE3	PHB2
RNPS1	DDX20
ILK	HEATR1
PPP4C	PPP4R3B
DSTN	RRBP1
MCC	STRN4
DNAAF5	PHLDA3
YWHAG	KLC4
EIF3D	EIF1B
EIF3E	EIF3A
PPP1R12A	PPP1CB
PRKAR1A	NPRL2
TFE3	ACLY
EPB41	CDK2
YWHAB	PARD3
YARS1	ARF6
PSMC3	PAAF1
RBM25	RNPS1
PSMC4	PSMD1
FRYL	BAK1
DYNLL1	DYNC1I2
PTP4A3	LRPPRC
YWHAQ	PI4KB
PSMC5	PSMD13
ATG12	OTUD4
TSC22D1	GSTK1
ARRB1	NOLC1
YWHAG	TJP2
ARHGDIA	RHOA
RPL23A	LYAR
YWHAG	SAMD4B
RPL3	CNBP
IMPDH2	IKBKE
EPRS1	MCC
MAST2	GCN1
PSMD14	PAAF1
IPO4	GSTK1
MYBBP1A	LYAR
FNTA	PTP4A2
DDOST	TMBIM4
PAK2	GIT1
UBE2M	NAE1
TWF2	VRK3
YWHAG	ERC1
PHYH	COPS3
PSMD7	PAAF1
PSMD10	PSMC2
SEPTIN2	SEPTIN7
PSMD10	PAAF1
PTP4A3	ECPAS
ELAC2	PUF60
YWHAQ	SAMD4B
USP9X	NEK6
KIF5C	YWHAQ
CDK4	CDC37
TWF2	LYAR
MCM3	PNKP
HNRNPC	CNBP
MED7	UBAC1
FKBP4	SAE1
PSMD12	PAAF1
PITPNA	PMVK
STRN4	STK24
EIF3H	EIF3A
MCC	PPP2R1A
PSMC5	PSMD6
EIF2B1	EIF2B3
PTP4A3	ABCD3
GIPC1	SH3BP4
YWHAB	KLC1
YWHAG	PRPF4B
CSNK2A2	RNPS1
YWHAB	AFDN
ATG12	ATG5
SIRT2	PHB2
ARHGDIA	RAC1
PTP4A3	CNNM3
CLASP2	SMYD2
PSMD10	PSMD7
SPOP	SIRT2
YWHAG	IRS2
AP3B1	ARRB1
DNASE2	RUVBL1
PSMD10	ELOVL1
PSMD14	PSMD13
RNPS1	LUC7L
FIBP	C2CD5
MOB4	STK24
YWHAG	PARD3
YWHAQ	MPRIP
STK25	STK24
PAK4	YWHAG
DBT	ADI1
AZIN1	OAZ2
PSMD10	PSMC6
PSMD7	PSMD13
PPIB	TMBIM4
RNPS1	SRPK1
MRPS25	DDX56
CSNK2B	RNPS1
RNPS1	PNN
CDK4	CDKN2A
EIF3I	EIF3A
EIF3F	EIF3A
EIF1B	EIF3E
U2AF2	RNPS1
YWHAB	RACGAP1
PDCD6IP	GSTK1
CAB39	TIMM13
CDC25B	PHB2
PINX1	PLEKHJ1
PLRG1	BCAS2
DYNC1H1	TSC22D1
COX4I1	NELFCD
STK16	VHL
MTX1	TMBIM4
PGRMC1	EFHD1
CNOT10	CNOT8
PRKAR1A	UBE2M
RFXANK	BSG
EIF1B	ACTR3
MYH10	IKBKE
ARAF	YWHAG
SERINC3	XPO5
PSMD11	PAAF1
SRSF1	RNPS1
PABPC1	IKBKE
RAB8A	RAB10
RAB14	DSTYK
SAP18	RPN2
LGALS1	SUSD2
ARRB1	TCOF1
RGS10	EIF6
MCC	VCP
CSNK2B	MCRS1
LUC7L3	RNPS1
CHD1	ARRB1
PABPC1	PINX1
ROCK2	STK16
STRIP1	STK24
OTUD4	ILK
PPP1R2	PPP1CB
EIF3A	EIF3K
PDCD6IP	PHLDA3
DHX36	PRKAB1
PTP4A3	SRPRB
ARHGDIA	CDC42
UGGT1	SUSD2
YWHAQ	KLC4
USP8	YWHAZ
SERINC3	PHB2
BRAF	YWHAQ
CNBP	PURA
CD2BP2	SNRNP40
CUL2	CAB39
ACLY	IKBKE
P4HB	ELF3
SGK1	CDC37
PPP2CB	STK24
YWHAQ	PNKP
HNRNPM	GSTK1
TTC27	PHLDA3
PTP4A3	XPO7
JUP	PHB2
BZW1	BZW2
MPG	LRRC59
PSMD8	PSMD6
PSMD3	PTP4A3
YWHAB	EDC3
RGS10	ACP6
UFM1	CDK5RAP3
GABARAPL2	ATG4B
PPP4C	PPP4R1
PSMD10	PSMD6
SNRPB	DYNC1H1
RAB10	AP1S1
S100A8	MOB1A
TXN	PINX1
PPM1B	KRT18
P4HB	PUF60
AKAP13	BAK1
SEC63	GSTK1
RPL3	LYAR
TMEM33	NDN
NUP205	PHLDA3
TTBK1	TTBK2
ATIC	IKBKE
YWHAQ	TJP2
RSU1	ACP6
EIF3A	EIF3M
EIF1B	RPS11
RPL3	EIF6
PPP1R11	PPP1CB
CDK2	UBE2M
TSPAN17	HACD3
PSMD8	PAAF1
UBR4	MCRS1
ULK1	GABARAP
DCTN1	GSTK1
RPS11	NDN
PELO	RUVBL1
GTF2A1	TBPL1
BAG6	TSC22D1
PHYH	WRAP73
YWHAB	TJP2
TSR1	LYAR
PTP4A2	PTP4A1
UBE2M	NPRL2
EZR	PRKAB1
CYCS	GSTK1
VCP	IKBKE
MCC	CSNK1D
SGK1	TUFM
KHSRP	PUF60
TRIP6	MOB1A
RPN2	GSTK1
PSMD14	PSMD6
EIF3D	EIF3A
GSK3B	GSKIP
RPS10	PINX1
TFE3	CUL2
CD2BP2	PUF60
IPO4	NEK6
SAP18	RGS10
HNRNPC	PUF60
SURF4	SERINC3
CD40	CALR
YWHAG	CRTC2
DFFA	YWHAZ
DHX36	PARVA
PTP4A3	HEATR1
RNPS1	SRRT
PAK4	YWHAQ
EIF1B	EIF2S3
SAP18	DDOST
MTHFD1	TRAF6
CDK5RAP3	UFC1
CPVL	CTNNBIP1
LNPK	CHMP1A
RNPS1	DDX23
GTF2A2	TBPL1
RPS11	NELFCD
OTUD4	RUNX1T1
PRPF6	SNRNP40
MCC	MYH10
OSTF1	ADI1
NOM1	PNKP
PRPF6	RNPS1
STK16	MKKS
TIMM8B	TIMM13
PSMD7	PSMD6
RNPS1	SRRM2
MOB4	TIMM13
CFL1	TAGLN
CIAO1	GAS8
PSMD8	PSMD13
VHL	ELOC
CNBP	DHX9
DHPS	ARF6
KRT82	DNPEP
TWF2	ELOVL1
OGT	FIBP
PAK4	CDC42
PSMC3	PSMC4
SMNDC1	EWSR1
ARR3	ARRB1
NEK7	NEK6
TBPL1	PMVK
YWHAB	FOXK1
DEDD	RANBP3
IARS1	AKTIP
FRYL	YWHAB
KRT18	MCC
NUDT21	RNPS1
KDELR1	BZW1
DDX3X	ELF3
UBR5	MCRS1
SYNCRIP	PUF60
GSK3B	XPO6
AIFM1	PELO
SUMO3	SAE1
NELFCD	NELFB
PSMB1	VHL
DBNL	DNPEP
RRP12	DDX56
PLS3	IKBKE
LRPPRC	NEK6
RNPS1	CPSF6
RPL34	DDX56
HNRNPM	PHLDA3
PTP4A3	DNAAF5
SGK1	CD40
NASP	TRAF6
YWHAB	SLC4A7
DHX36	ACP6
RPS9	DDX56
DEGS1	SURF4
PDIA4	EIF2B1
SNRPB2	SNRNP40
PSMC6	PSMD6
PPP1CB	PPP1R8
PSMC2	PSMC4
HSPE1	DSTYK
CD40	USP15
BRAF	YWHAZ
CNBP	HNRNPAB
DDRGK1	CDK5RAP3
ELF3	GANAB
IPO4	PHLDA3
YWHAG	LUC7L2
ARHGDIA	EIF2B1
BCKDK	CAB39L
MPDU1	PMVK
ABCD3	PELO
PSMD11	PSMC4
SUMO1	UBE2I
VHL	ELOB
CFLAR	SF3B3
CUL2	TIMM13
ATIC	ELF3
GABARAPL2	ATG3
GSK3B	DHX36
NDN	SRPRB
LAGE3	OSGEP
PPM1B	S100A8
VDAC2	SERINC3
SUMO3	UBE2I
UBE2M	UBA3
YWHAZ	KLC1
AK1	KMT2C
CTSA	CTNNBIP1
DEGS1	SLC16A1
IARS1	GSTK1
CERS2	NDN
PSMD12	PSMD10
RAB5C	SUN2
DDX3X	PUF60
GCN1	TNFRSF14
JAK1	ATIC
FBL	BAK1
BAK1	SRRM2
BCL10	H2BC7
RPS9	LYAR
RFXANK	HNRNPM
TWF2	KRT82
KDELR1	SERINC3
DDX3X	ILK
GTPBP4	LYAR
NEK6	SMC3
PSMB1	DSTYK
SF3A3	PUF60
MOB1A	STK38L
SERINC3	HACD3
MCM7	NEK6
PLOD2	RUVBL2
SMYD2	AKAP11
TSC22D1	MTR
COX5A	NELFCD
LRPPRC	GABARAPL2
EIF3H	EIF1B
MCC	CSNK1E
AIFM1	MLF2
PGRMC1	DNAAF5
SYNCRIP	PRKRA
PAICS	PSMC4
RPA3	TIMM13
BZW1	EDEM1
GSK3B	RPF2
SFSWAP	RNPS1
RNPS1	THRAP3
VARS1	TRAF6
TXN	VHL
EXT1	OSTF1
RPL31	PINX1
RIPK2	KCTD12
SLMAP	STK24
TUSC2	LRBA
BSG	RANBP3
H2BC7	DDX56
FIBP	EIF6
